NAICS,Industry,"Occupation Jobs in Industry (2024)","Occupation Jobs in Industry (2029)","Change (2024 - 2029)","% Change (2024 - 2029)","% of Occupation in Industry (2024)","% of Total Jobs in Industry (2024)"
445,"Food and Beverage Stores",22.5697805615,23.2924306917,0.722650130201,0.0320184827775,0.00170363900003,0.000220559369586
712,"Museums, Historical Sites, and Similar Institutions",19.3404612693,22.205216326,2.86475505674,0.148122374997,0.00145987968324,0.00303211683889
337,"Furniture and Related Product Manufacturing",18.7700575182,13.8377654197,-4.93229209848,-0.26277447971,0.00141682378938,0.0018165237254
323,"Printing and Related Support Activities",14.0379667794,10.9319344529,-3.10603232643,-0.221259415644,0.00105963049225,0.00134485871409
315,"Apparel Manufacturing",13.1151750838,8.1608418262,-4.95433325761,-0.377755784879,0.000989975232769,0.000632671140696
313,"Textile Mills",13.0806120722,9.79701715077,-3.28359492143,-0.251027620367,0.000987366306451,0.00348641854949
456,"Health and Personal Care Retailers",12.6117178652,13.0407586092,0.42904074401,0.0340192151931,0.000951972676646,0.000353960410252
486,"Pipeline Transportation",11.1906896753,12.1607505846,0.97006090931,0.0866846403085,0.000844708937959,0.0154109533452
213,"Support Activities for Mining",11.1762946705,10.2576646902,-0.918629980333,-0.0821945025088,0.000843622357096,0.0104007611414
314,"Textile Product Mills",10.9186114092,7.73780185646,-3.18080955269,-0.291319970415,0.000824171602912,0.00311107539684
321,"Wood Product Manufacturing",10.5240879066,10.2373676371,-0.28672026951,-0.0272441918059,0.000794391711012,0.00318024065929
524,"Insurance Carriers and Related Activities",9.19820665022,8.23489133387,-0.963315316354,-0.104728601236,0.000694309966236,0.000158965345987
522,"Credit Intermediation and Related Activities",8.60946552825,8.18147745243,-0.427988075828,-0.0497113408983,0.000649869909162,0.000176600119867
483,"Water Transportation",7.03772280458,6.45341477793,-0.584308026658,-0.0830251549944,0.000531229756913,0.00279354325892
523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5.3990754107,5.9912019934,0.592126582693,0.109671848909,0.000407539426832,0.000176052856055
513,"Publishing Industries",5.33668668429,5.15360152763,-0.183085156657,-0.0343068962989,0.000402830126837,0.000262994944792
518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",5.26430727971,5.67957939944,0.41527211973,0.0788844757088,0.000397366698599,0.00048664116032
115,"Support Activities for Agriculture and Forestry",4.50235341776,3.6412493357,-0.861104082065,-0.191256439059,0.000339851991626,0.00357427426282
525,"Funds, Trusts, and Other Financial Vehicles",4.30381478667,4.21318538024,-0.0906294064245,-0.0210579244035,0.000324865662715,0.00308062673962
458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",3.96030973458,4.06928716806,0.108977433483,0.0275174016143,0.000298936806125,7.00108670307E-5
487,"Scenic and Sightseeing Transportation",3.65003720443,3.77484667043,0.124809465998,0.0341940257064,0.000275516446253,0.00480638893185
111,"Crop Production",3.34600405893,3.23144191152,-0.114562147413,-0.0342384962467,0.000252567055027,0.000864098403392
999,"Unclassified Industry",3.32917530811,0,-3.32917530811,-1,0.000251296767258,0.00452949021512
212,"Mining (except Oil and Gas)",3.23402683249,2.98100418505,-0.253022647438,-0.0782376462978,0.000244114656939,0.00810532729945
519,"Web Search Portals, Libraries, Archives, and Other Information Services",2.11909207919,2.33467467419,0.215582595006,0.101733472143,0.000159955826815,0.000312500215328
211,"Oil and Gas Extraction",1.78787985461,0.700025847241,-1.08785400737,-0.608460352951,0.000134954872041,0.00810945277963
521,"Monetary Authorities-Central Bank",1.36772469424,0.977813310064,-0.389911384175,-0.285080313178,0.000103240220881,0.00394944810266
112,"Animal Production and Aquaculture",0,0,0,0,0,0
113,"Forestry and Logging",0,0,0,0,0,0
114,"Fishing, Hunting and Trapping",0,0,0,0,0,0
316,"Leather and Allied Product Manufacturing",0,0,0,0,0,0
491,"Postal Service",0,0,0,0,0,0
533,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)",0,0,0,0,0,0
814,"Private Households",0,0,0,0,0,0
